com.jiaedian.power,华腾节能客户端
com.alibabainc.dingtalk,3.-让工作学习更简单
com.foxit.foxitpdfeditor,福昕高级PDF编辑器
com.huluer.ichainpi,派盘
com.rembb.jsx-tc,记上学三个课堂
com.qq.wemeet,腾讯会议
com.wind.wft,Wind金融终端(机构专用)
net.textseek.off,TextSeek (离线版)-文本搜索
net.textseek,TextSeek 文本搜索工具
com.huidu.hdplayer,HDPlayer软件
mct,视宽电子教室广播教学软件教师端
mcs,视宽电子教室广播教学软件学生端
com.ovital.map,奥维互动地图
com.hisense-syxs.hiedu,海信智学
hscore,山河安全工作空间
holder,holder
ppthelper-agent,PPT遥控翻页
cn.wps.wps-office-pro,WPS2019专业版
dev.warp.app,Warp Terminal
com.insight.client,信创运维小助手
store.spark-app.wechat-linux-spark,微信Linux
com.mythware.cms-teacher,极域课堂互动教学系统软件（教师端）
com.tencent.wechat,微信
com.mythware.cms-student,极域课堂互动教学系统软件（学生端）
com.hsl.amis,电子档案管理系统
pdmaner,PDManer 元数建模
com.360.browser-stable,360安全浏览器
com.zwsoft.zwcadm2024,中望CAD机械版 2024
net.thunderbird,雷鸟邮件客户端
weici-teaching,维词教学系统
net.cnki.cajviewer,CAJViewer全文浏览器
life.zishu.sdt,闪电藤文件传输
classin,ClassIn
wonderpen,妙笔
com.biometrics.fprint.ft9348,敦泰指纹模组
com.zjca.zjcakeymanager,ZJCA证书助手
cn.wps.wps-office,WPS Office 2019 For Linux
cn.loongnix.lbrowser,龙芯浏览器
iitc,3IS智能信息交互系统-控制端
iiis,3IS蓝聪会议预约
cn.10086.yidonghuiyi,移动会议（云视讯）网页版
com.nutstore.deepin,坚果云
j2l3x,J2L3x 数字工作空间系统
com.wind.wfc,万得投顾终端
com.fz.deepin,方正证券股票期权经典版
com.eagleyun.yunshu,云枢
xcb-app,软通桥信创应用兼容适配客户端
com.isoftstone.hwcloudlink,HW CloudLink-视频会议
sursen-reader,书生阅读器
youzone,友空间
uclient,UClient
com.xunlei.download,迅雷
cn.org.hbca.ceac,湖北CA证书管家
cn.vrv.linkdood,信源密信
photosir,PhotoSir
com.lightwan,LightWAN
iauto,IAuto绘图
com.zwsoft.zw3d2024,中望3D 2024
com.cloudwan,CloudWAN
com.gstarcad.cad,浩辰CAD 2024
io.github.msojocs.bilibili,哔哩哔哩bilibili
cn.com.sangfor.atrust,深信服零信任访问控制系统aTrust
huaweicloudmeeting,华为云会议-视频会议办公软件
cn.com.topsec.topsap,安全接入
com.ftsafe.interpass3000-cgb,广发银行key盾管理工具-飞天诚信
bidfiledownloader,投标文件下载加速客户端
com.oa8000.htim,小天精灵即时通讯软件
net.master-pdf,Master PDF 编辑器
com.thtfpc.whiteboard,同方教育白板
com.eusoft.eudic,欧路词典
cn.coremail.cmclient,Coremail邮箱客户端
cn.bosyun.pixso,Pixso-协同设计
com.thtfpc.camerashow,同方视频展台
swt-swcx,河北省商务诚信
com.joydin.braingame,智力游戏
ubx-auxiliary,统信有往开发工具
com.onbonbx.ledshowsuite,LedShowSuite
ubx-server,统信有往服务
com.bmb1688.audit,帝岚计算机终端保密检查系统
com.thtfpc.integratedesktop,同方教育桌面
com.szca.msm.uos,协同签名密码模块
com.zjd.gov,浙政钉
com.langlangjiaoyu.langyunzhihuijiaoxuexitong,朗云智慧教学系统
com.htsec.ehtsec,e海通财
com.jzaq.client,集中安全平台
com.meia.me,美啊
com.gnway.appcloud,云联信创专版
encoo.robot,云扩RPA机器人
