包名,名称,UI界面,是否可用,图标正常,桌面启动,备注,
aixueshi,爱学仕校园教师端,是,是,是,是,,
app.web.3done,3D One测试版,否,否,,,"网页应用，网站已挂,xdg-open不正常",
bidfiledownloader,投标文件下载加速客户端,是,是,是,是,,
china.nfs-browser,方德浏览器,是,是,是,是,,
classin,ClassIn,是,是,是,是,,
cn.10086.yidonghuiyi,移动会议（云视讯）网页版,,否,,,仓库无包,
cn.ankexinchuang.weimail,微邮个人版,是,是,是,是,,
cn.bitnum.certmanager,证书管理器,是,否,是,否,,qt.network.ssl: No TLS backend is available
cn.bizconf.bizcloudec,超视云企业版,是,是,是,是,,
cn.bjca.certaide,BJCA证书助手,否,否,是,否,试图打开本地网页-等待修复,
cn.bosyun.pixso,Pixso-协同设计,是,是,是,是,,
cn.ccwork.com,360织语-数字化工作门户平台,是,是,是,是,启动器图标刚装好是黑方块,
cn.com.gf.hippo,广发操盘手（网页版）,否,否,,,Received signal 11 SEGV_MAPERR 000000000000,
cn.com.sangfor.atrust,深信服零信任访问控制系统aTrust,否,否,,,闪退 Error: connect ENOENT /usr/share/sangfor/.aTrust/var/run/aTrustTunnel-c46a26c5-2cd4-4c20-9352-8efbb6358ea0,
cn.com.topsec.topnac,天融信NAC客户端,否,否,,,Segmentation fault,
cn.com.topsec.topsap,安全接入,是,是,是,是,VPN软件，能启动不一定能用,
cn.com.xcsa.uos,数据安全集中管控,是,是,是,是,启动器图标刚装好是黑方块,
cn.coremail.cmclient,Coremail邮箱客户端,是,否,是,是,控件全灰,
cn.foxitsoftware.foxitreader,福昕PDF阅读器,,,,,无包,
cn.foxitsoftware.online,福昕高级PDF编辑器网页版,是,否,是,否,"复制desktop的ll-cli命令可启动,双击不行",
cn.fxkp.fxkpofficesuite.appstore,福昕OFD版式办公套件,是,否,,,显示安装有误-等待修复,
cn.greenpaper.reader,绿页阅读器,是,是,是,是,,
cn.gzca.certmanager,GZCA数字证书客户端,否,否,,,Segmentation fault，GZCAGZLM DLL加载失败；读取了USB，可能需要加密狗,
cn.hitecloud.hitecamera,鸿合视频展台软件,,,,,仓库缺少libopencv-contrib4.5,
cn.hitecloud.hitecenter,鸿合消息中心,否,否,,,无快捷方式，等待修复,
cn.hitecloud.hitecontroller,鸿合系统管家,是,否,,,提示需要重启，不一定能用,
cn.hitecloud.hitetools,鸿合通用工具,,,,,无快捷方式,
cn.i4.i4tools,爱思助手,是,是,是,是,"启动器图标刚装好是黑方块,USB相关软件,不一定可用",
cn.lanxin,蓝信,是,是,是,是,,
cn.linuxgame.cstrike,反恐精英,否,否,是,否,"32位应用;需要重定向应用目录的读写;ptrace拦截性能差,BPF会出问题",
cn.loongnix.lbrowser,龙芯浏览器,是,是,是,是,,
cn.newcloud.newss,蓝云天同窗电子教室教师端软件,否,否,,,TScrollBox.Destroy with LCLRefCount>0,
cn.newcloud.newssst,蓝云天同窗电子教室学生端软件,是,否,是,是,"远控相关软件,读写程序目录,修好了也大概率不可用",
cn.org.hbca.ceac,湖北CA证书管家,是,否,是,是,"UCAPI加载失败,
lock file error/n: Resource temporarily unavailable
QWidget: Must construct a QApplication before a QWidget,
启动器图标刚装好是黑方块,USB相关软件,大概率不可用",
cn.smxxy.igspc,甘棠政务,,,,,无包,
